Components List
0	1	0	09010000	0	0	360	360	724	1234	Image/Icon
1	2	0	008a8200	128	126	66	1200	130834	130870	Hour no
2	2	0	008a8200	62	126	66	1200	130834	130870	Hour no
3	3	0	018a8200	253	121	50	900	210070	210122	Minute no
4	3	0	018a8200	203	121	50	900	210070	210122	Minute no
5	4	0	028a8200	279	221	16	260	255122	255172	Date no
6	4	0	028a8200	265	221	16	260	255122	255172	Date no
7	5	1	06870082	199	221	60	182	274000	274052	Weekday label
8	5	2	06870082	199	221	60	182	263030	263080	Weekday label
9	6	0	0e8a8500	259	265	13	200	259332	259390	Steps no
10	6	0	0e8a8500	249	265	13	200	259332	259390	Steps no
11	6	0	0e8a8500	239	265	13	200	259332	259390	Steps no
12	6	0	0e8a8500	230	265	13	200	259332	259390	Steps no
13	6	0	0e8a8500	219	265	13	200	259332	259390	Steps no
14	7	0	0b8a0300	149	265	13	200	259332	259390	Battery no
15	7	0	0b8a0300	139	265	13	200	259332	259390	Battery no
16	7	0	0b8a0300	132	265	13	200	259332	259390	Battery no
17	8	0	09010000	161	265	13	20	259332	262250	Image/Icon
18	9	0	170a0000	0	0	0	0	0	0	Weather label
19	9	0	17090000	76	81	40	30	293418	293470	Weather label
20	9	0	17090000	76	81	40	30	293418	294670	Weather label
21	9	0	17090000	76	81	40	30	293418	295870	Weather label
22	9	0	17090000	76	81	40	30	293418	297070	Weather label
23	9	0	17090000	76	81	40	30	293418	298270	Weather label
24	9	0	17090000	76	81	40	30	293418	299470	Weather label
25	9	0	17090000	76	81	40	30	293418	300670	Weather label
26	9	0	17090000	76	81	40	30	293418	301870	Weather label
27	9	0	17090000	76	81	40	30	293418	303070	Weather label
28	10	0	16060000	127	95	9	2	65535	0	Weather no
29	10	0	16060000	114	95	9	2	65535	0	Weather no
30	10	0	168ac200	125	86	13	200	259332	259390	Weather no
31	10	0	168ac200	112	86	13	200	259332	259390	Weather no
32	10	0	16018000	138	86	13	20	259332	261990	Weather no
33	10	0	16060000	107	95	5	2	65535	0	Weather no
34	11	0	0b870000	96	260	40	210	284972	285018	Battery no
35	12	0	19010000	182	86	125	20	65535	218112912	Solid color
